Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Country,City,State,Region,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,United States,Henderson,Kentucky,South,261.96,2.0,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,United States,Henderson,Kentucky,South,731.94,3.0,0.0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,United States,Los Angeles,California,West,14.62,2.0,0.0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,United States,Fort Lauderdale,Florida,South,957.5775,5.0,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,United States,Fort Lauderdale,Florida,South,22.368,2.0,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,United States,Los Angeles,California,West,48.86,7.0,0.0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,United States,Los Angeles,California,West,7.28,4.0,0.0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,United States,Los Angeles,California,West,907.152,6.0,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,United States,Los Angeles,California,West,18.504,3.0,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,United States,Los Angeles,California,West,114.9,5.0,0.0,34.47
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,United States,Los Angeles,California,West,1706.184,9.0,0.2,85.3092
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,United States,Los Angeles,California,West,911.424,4.0,0.2,68.3568
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,United States,Concord,North Carolina,South,15.552,3.0,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,United States,Seattle,Washington,West,407.976,3.0,0.2,132.5922
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,United States,Fort Worth,Texas,Central,68.81,5.0,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,United States,Fort Worth,Texas,Central,2.544,3.0,0.8,-3.816
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,United States,Madison,Wisconsin,Central,665.88,6.0,0.0,13.3176
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,United States,West Jordan,Utah,West,55.5,2.0,0.0,9.99
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,United States,San Francisco,California,West,8.56,2.0,0.0,2.4824
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,United States,San Francisco,California,West,213.48,3.0,0.2,16.011
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,United States,San Francisco,California,West,22.72,4.0,0.2,7.384
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,United States,Fremont,Nebraska,Central,19.46,7.0,0.0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,United States,Fremont,Nebraska,Central,60.34,7.0,0.0,15.6884
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,United States,Philadelphia,Pennsylvania,East,71.372,2.0,0.3,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,United States,Orem,Utah,West,1044.63,3.0,0.0,240.2649
